course_name,internship_role,government_department,sector,location_city,minimum_age,maximum_age,duration_months,stipend_per_month_inr,mode,minimum_percentage_required,skill_requirement,certificate_provided,pre_placement_offer_possibility,application_mode,stipend_bucket,duration_bucket
B.Ed,Police Administration Intern,Haryana Irrigation Department,social welfare,rohtak,18,29,1,20000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,very_short
ITI Electrician,Clinical Intern,Haryana Skill Development Mission,infrastructure,karnal,18,28,1,10000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,very_short
D.Pharmacy,Banking Operations Intern,Haryana IT Department,social welfare,karnal,19,26,3,0,on-site,65,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,unpaid,short
B.Com,Data Analyst Intern,Haryana IT Department,education,sonipat,18,22,6,0,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,unpaid,medium
BSc Biotechnology,Legal Research Intern,Haryana Revenue Department,education,ambala,18,23,4,8000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,medium
B.Tech Electrical,Banking Operations Intern,Haryana Renewable Energy Department,public administration,gurgaon,21,23,4,10000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,medium,email application,medium,medium
ITI Welder,Social Welfare Intern,Haryana Education Department,energy,panipat,19,27,3,8000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,short
BA Economics,Banking Operations Intern,Haryana Revenue Department,it & digital,faridabad,20,23,2,10000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,short
B.Tech Mechanical,Agriculture Field Intern,Haryana Irrigation Department,energy,sonipat,19,28,6,8000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,medium
ITI Electrician,Transport Operations Intern,Haryana Social Justice Department,it & digital,yamunanagar,18,29,4,8000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,medium
B.Tech Mechanical,Agriculture Field Intern,Haryana Health Department,legal & judiciary,kaithal,19,27,2,20000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,short
BSc Agriculture,Social Welfare Intern,Haryana Education Department,agriculture,ambala,21,24,6,20000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,medium
BSc Agriculture,Accounts Intern,Haryana Police Department,social welfare,gurgaon,18,30,6,20000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,medium
D.Pharmacy,HR Intern,Haryana Transport Department,education,karnal,19,26,1,15000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,very_short
BSc Nursing,Data Analyst Intern,Haryana Social Justice Department,infrastructure,panipat,18,27,4,0,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,low,email application,unpaid,medium
LLB,Digital Governance Intern,Haryana Health Department,social welfare,chandigarh,21,26,2,0,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,high,email application,unpaid,short
BSc Agriculture,Public Policy Intern,Haryana Skill Development Mission,social welfare,bhiwani,20,24,2,8000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,short
B.Tech Computer Science,Agriculture Field Intern,Haryana Education Department,healthcare,jind,18,23,3,0,on-site,55,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,unpaid,short
MBA,Legal Research Intern,Haryana Social Justice Department,public administration,chandigarh,18,27,2,0,on-site,50,Basic domain knowledge and MS Office proficiency,yes,high,government portal,unpaid,short
BA Political Science,Clinical Intern,Haryana Women & Child Development,healthcare,hisar,21,26,2,15000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
D.Pharmacy,Renewable Energy Intern,Haryana Health Department,it & digital,rohtak,18,22,2,8000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,short
M.Ed,Legal Research Intern,Haryana Skill Development Mission,healthcare,rohtak,19,25,2,10000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,short
B.Tech Civil,Digital Governance Intern,Haryana Skill Development Mission,healthcare,karnal,20,25,2,8000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,short
MBA,Accounts Intern,Haryana Public Works Department,it & digital,karnal,19,27,4,12000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,medium
ITI Welder,Legal Research Intern,Haryana Health Department,education,panipat,18,24,2,20000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,short
BSc IT,Water Resource Management Intern,Haryana Education Department,infrastructure,sirsa,20,27,2,12000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,short
BA Political Science,Electrical Maintenance Intern,Haryana Transport Department,infrastructure,rohtak,21,26,6,0,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,high,government portal,unpaid,medium
BSc IT,Social Welfare Intern,Haryana Revenue Department,it & digital,hisar,21,26,2,15000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,short
B.Tech Computer Science,Urban Planning Intern,Haryana Revenue Department,infrastructure,sonipat,21,27,1,12000,on-site,60,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,very_short
BSc Agriculture,Clinical Intern,Haryana Public Works Department,it & digital,hisar,19,25,6,20000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,medium
MBA,Accounts Intern,Haryana Public Works Department,energy,faridabad,18,28,2,8000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,short
BA Political Science,Digital Governance Intern,Haryana Public Works Department,education,hisar,18,26,3,15000,on-site,65,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,short
BSc Environmental Science,Legal Research Intern,Haryana Police Department,finance & accounts,panipat,19,22,4,15000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,medium
B.Tech Electrical,Urban Planning Intern,Haryana Agriculture Department,legal & judiciary,yamunanagar,20,25,6,12000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,medium
LLB,Digital Governance Intern,District Administration Office,it & digital,faridabad,21,30,2,8000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,short
B.Tech Mechanical,Urban Planning Intern,Haryana Police Department,energy,faridabad,20,30,1,20000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,very_short
B.Tech Electrical,Transport Operations Intern,Haryana Public Works Department,education,chandigarh,20,26,6,15000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,medium
B.Tech Mechanical,Junior Mechanical Intern,Haryana Social Justice Department,infrastructure,sonipat,19,27,6,20000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,medium,email application,good,medium
LLB,Transport Operations Intern,Haryana Transport Department,public administration,rohtak,19,27,4,20000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,medium
B.Com,Agriculture Field Intern,Haryana Social Justice Department,public administration,chandigarh,19,25,1,8000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,very_short
B.Tech Mechanical,Banking Operations Intern,Haryana IT Department,energy,jind,19,26,4,15000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,medium
Diploma Mechanical,Legal Research Intern,Haryana Skill Development Mission,agriculture,karnal,18,25,1,0,on-site,65,Basic domain knowledge and MS Office proficiency,yes,low,government portal,unpaid,very_short
BA Economics,Hospital Administration Intern,Haryana Renewable Energy Department,social welfare,gurgaon,19,24,3,20000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
BA Political Science,Transport Operations Intern,Haryana Health Department,infrastructure,jind,20,26,1,8000,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,low,government portal,medium,very_short
D.Pharmacy,Public Policy Intern,Haryana Irrigation Department,energy,sirsa,20,30,3,20000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,short
ITI Electrician,Transport Operations Intern,Haryana Renewable Energy Department,energy,rohtak,21,29,6,15000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,medium
BSc IT,Clinical Intern,District Administration Office,finance & accounts,kaithal,19,27,3,10000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,government portal,medium,short
BSc Agriculture,Agriculture Field Intern,Haryana Revenue Department,agriculture,jind,18,28,6,12000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,medium
B.Tech Mechanical,Digital Governance Intern,Haryana Transport Department,legal & judiciary,ambala,19,25,4,0,on-site,55,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,unpaid,medium
Diploma Mechanical,Software Development Intern,Haryana Public Works Department,social welfare,panipat,19,28,2,8000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,low,email application,medium,short
BSc IT,Social Welfare Intern,Haryana Education Department,education,karnal,21,26,3,15000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,short
LLM,Civil Site Intern,Haryana Public Works Department,social welfare,ambala,18,27,1,20000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,very_short
BSc Nursing,Public Policy Intern,Haryana IT Department,social welfare,gurgaon,18,24,2,20000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,short
B.Tech Computer Science,Renewable Energy Intern,Haryana Urban Local Bodies,social welfare,karnal,20,24,1,12000,hybrid,65,Basic domain knowledge and MS Office proficiency,yes,high,email application,good,very_short
ITI Fitter,Legal Research Intern,Haryana Health Department,education,bhiwani,21,23,4,15000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,low,email application,good,medium
MBA,Police Administration Intern,Haryana Revenue Department,it & digital,karnal,21,25,2,8000,hybrid,50,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,short
MCA,Electrical Maintenance Intern,Haryana Skill Development Mission,agriculture,bhiwani,21,24,6,8000,on-site,50,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,medium
Diploma Civil,Transport Operations Intern,Haryana Women & Child Development,social welfare,rohtak,21,26,2,10000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,short
BSc Nursing,Social Welfare Intern,Haryana Education Department,social welfare,gurgaon,19,28,2,8000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,medium,short
D.Pharmacy,Social Welfare Intern,Haryana Agriculture Department,agriculture,jind,20,24,1,8000,on-site,70,Basic domain knowledge and MS Office proficiency,yes,high,email application,medium,very_short
BSc Nursing,Public Policy Intern,Haryana Renewable Energy Department,education,faridabad,19,26,3,0,hybrid,60,Basic domain knowledge and MS Office proficiency,yes,high,email application,unpaid,short
BSc Nursing,Hospital Administration Intern,Haryana Revenue Department,healthcare,jind,18,27,2,12000,hybrid,70,Basic domain knowledge and MS Office proficiency,yes,high,government portal,good,short
BA Political Science,Banking Operations Intern,Haryana Police Department,education,kaithal,19,23,2,12000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
MBA,Civil Site Intern,Haryana Social Justice Department,it & digital,gurgaon,20,24,3,15000,on-site,55,Basic domain knowledge and MS Office proficiency,yes,low,government portal,good,short
B.Ed,Digital Governance Intern,Haryana Revenue Department,it & digital,panipat,20,28,2,12000,hybrid,55,Basic domain knowledge and MS Office proficiency,yes,medium,government portal,good,short
